Te,ne,728/706,728/668
2.118507450354578e-01, 2.118507450354571e+18, 8.006948623977375e-02, 1.680937255451301e+00
2.118507450354578e-01, 2.377004454874053e+18, 7.802997272321642e-02, 1.641309680103464e+00
2.118507450354578e-01, 2.667042864326648e+18, 7.592749504706769e-02, 1.598521857808429e+00
2.118507450354578e-01, 2.992471312188848e+18, 7.377495684063243e-02, 1.552564504024234e+00
2.118507450354578e-01, 3.357608036245132e+18, 7.158675374999202e-02, 1.503490671349304e+00
2.118507450354578e-01, 3.767298178979589e+18, 6.937848403465655e-02, 1.451423145244865e+00
2.118507450354578e-01, 4.226978079673322e+18, 6.716660386947987e-02, 1.396559464607302e+00
2.118507450354578e-01, 4.742747411323311e+18, 6.496804471639664e-02, 1.339173873828518e+00
2.118507450354578e-01, 5.321450119597585e+18, 6.279981344869573e-02, 1.279615654562250e+00
2.118507450354578e-01, 5.970765237835940e+18, 6.067859732917143e-02, 1.218303504054669e+00
2.118507450354578e-01, 6.699308783156532e+18, 5.862039525428142e-02, 1.155715911009889e+00
2.118507450354578e-01, 7.516748085768933e+18, 5.664019397242176e-02, 1.092377807186927e+00
2.118507450354578e-01, 8.433930068571646e+18, 5.475170364279758e-02, 1.028844111234847e+00
2.118507450354578e-01, 9.463025179229549e+18, 5.296716171046446e-02, 9.656810919342493e-01
2.118507450354578e-01, 1.061768888461980e+19, 5.129720832199371e-02, 9.034467203781583e-01
2.118507450354578e-01, 1.191324287058017e+19, 4.975083106340453e-02, 8.426713182829951e-01
2.118507450354578e-01, 1.336687835137238e+19, 4.833537221148376e-02, 7.838398170347195e-01
2.118507450354578e-01, 1.499788418664912e+19, 4.705658830324188e-02, 7.273768103966661e-01
2.118507450354578e-01, 1.682790283290379e+19, 4.591874978393727e-02, 6.736353243773789e-01
2.118507450354578e-01, 1.888121752571853e+19, 4.492476773639451e-02, 6.228898720267959e-01
2.118507450354578e-01, 2.118507450354571e+19, 4.407633502541061e-02, 5.753339561176511e-01
2.118507450354578e-01, 2.377004454874053e+19, 4.337407033641768e-02, 5.310817836820606e-01
2.118507450354578e-01, 2.667042864326648e+19, 4.281765526029909e-02, 4.901736155956603e-01
2.118507450354578e-01, 2.992471312188848e+19, 4.240595652759574e-02, 4.525839318945541e-01
2.118507450354578e-01, 3.357608036245132e+19, 4.213712754480849e-02, 4.182314701768331e-01
2.118507450354578e-01, 3.767298178979589e+19, 4.200868542848767e-02, 3.869901898712230e-01
2.118507450354578e-01, 4.226978079673322e+19, 4.201756172904983e-02, 3.587003104118212e-01
2.118507450354578e-01, 4.742747411323311e+19, 4.216012698504174e-02, 3.331787354231450e-01
2.118507450354578e-01, 5.321450119597585e+19, 4.243219115813324e-02, 3.102283727438445e-01
2.118507450354578e-01, 5.970765237835940e+19, 4.282898385802254e-02, 2.896460593996225e-01
2.118507450354578e-01, 6.699308783156532e+19, 4.334512002242978e-02, 2.712289772710474e-01
2.118507450354578e-01, 7.516748085768934e+19, 4.397455826832511e-02, 2.547795848522054e-01
2.118507450354578e-01, 8.433930068571646e+19, 4.471056032905733e-02, 2.401091881502625e-01
2.118507450354578e-01, 9.463025179229549e+19, 4.554566066363464e-02, 2.270403316091931e-01
2.118507450354578e-01, 1.061768888461980e+20, 4.647165529712159e-02, 2.154082145739203e-01
2.118507450354578e-01, 1.191324287058017e+20, 4.747961809264507e-02, 2.050613387531629e-01
2.118507450354578e-01, 1.336687835137238e+20, 4.855995091132054e-02, 1.958615758629230e-01
2.118507450354578e-01, 1.499788418664912e+20, 4.970247154150600e-02, 1.876838193993215e-01
2.118507450354578e-01, 1.682790283290380e+20, 5.089654005422869e-02, 1.804153558407084e-01
2.118507450354578e-01, 1.888121752571853e+20, 5.213122066894896e-02, 1.739550623008500e-01
2.377004454874037e-01, 2.118507450354571e+18, 8.517784948012436e-02, 1.479037529798696e+00
2.377004454874037e-01, 2.377004454874053e+18, 8.287603437871971e-02, 1.441980971725805e+00
2.377004454874037e-01, 2.667042864326648e+18, 8.051340983311349e-02, 1.402211980832288e+00
2.377004454874037e-01, 2.992471312188848e+18, 7.810515293602119e-02, 1.359755288177223e+00
2.377004454874037e-01, 3.357608036245132e+18, 7.566783949413462e-02, 1.314690167004614e+00
2.377004454874037e-01, 3.767298178979589e+18, 7.321908370670088e-02, 1.267155688684967e+00
2.377004454874037e-01, 4.226978079673322e+18, 7.077713233668211e-02, 1.217353853235427e+00
2.377004454874037e-01, 4.742747411323311e+18, 6.836043531176864e-02, 1.165550064318008e+00
2.377004454874037e-01, 5.321450119597585e+18, 6.598721669573858e-02, 1.112070548359752e+00
2.377004454874037e-01, 5.970765237835940e+18, 6.367506968534614e-02, 1.057296507817729e+00
2.377004454874037e-01, 6.699308783156532e+18, 6.144059674266095e-02, 1.001655038695601e+00
2.377004454874037e-01, 7.516748085768933e+18, 5.929911151893021e-02, 9.456071125387340e-01
2.377004454874037e-01, 8.433930068571646e+18, 5.726441347086002e-02, 8.896331960169614e-01
2.377004454874037e-01, 9.463025179229549e+18, 5.534863976284748e-02, 8.342173246914933e-01
2.377004454874037e-01, 1.061768888461980e+19, 5.356219294695871e-02, 7.798306288191328e-01
2.377004454874037e-01, 1.191324287058017e+19, 5.191373766026422e-02, 7.269153997481609e-01
2.377004454874037e-01, 1.336687835137238e+19, 5.041025562004194e-02, 6.758707671533016e-01
2.377004454874037e-01, 1.499788418664912e+19, 4.905714573605306e-02, 6.270409258689746e-01
2.377004454874037e-01, 1.682790283290379e+19, 4.785835517191699e-02, 5.807066188183209e-01
2.377004454874037e-01, 1.888121752571853e+19, 4.681652747124745e-02, 5.370802777701374e-01
2.377004454874037e-01, 2.118507450354571e+19, 4.593315510629975e-02, 4.963048864492767e-01
2.377004454874037e-01, 2.377004454874053e+19, 4.520872566146045e-02, 4.584563058703547e-01
2.377004454874037e-01, 2.667042864326648e+19, 4.464285301638359e-02, 4.235485313323104e-01
2.377004454874037e-01, 2.992471312188848e+19, 4.423438710541661e-02, 3.915411650248594e-01
2.377004454874037e-01, 3.357608036245132e+19, 4.398149795857221e-02, 3.623483023677782e-01
2.377004454874037e-01, 3.767298178979589e+19, 4.388173172359815e-02, 3.358480414688212e-01
2.377004454874037e-01, 4.226978079673322e+19, 4.393203824569718e-02, 3.118919162379741e-01
2.377004454874037e-01, 4.742747411323311e+19, 4.412877159120229e-02, 2.903136983116636e-01
2.377004454874037e-01, 5.321450119597585e+19, 4.446766668932096e-02, 2.709371818598939e-01
2.377004454874037e-01, 5.970765237835940e+19, 4.494379703970929e-02, 2.535827324215336e-01
2.377004454874037e-01, 6.699308783156532e+19, 4.555152014188713e-02, 2.380725267881219e-01
2.377004454874037e-01, 7.516748085768934e+19, 4.628441882837579e-02, 2.242345245311460e-01
2.377004454874037e-01, 8.433930068571646e+19, 4.713524785352066e-02, 2.119052896065442e-01
2.377004454874037e-01, 9.463025179229549e+19, 4.809589569877389e-02, 2.009318249610368e-01
2.377004454874037e-01, 1.061768888461980e+20, 4.915737140160312e-02, 1.911726001212812e-01
2.377004454874037e-01, 1.191324287058017e+20, 5.030982514599308e-02, 1.824979486939182e-01
2.377004454874037e-01, 1.336687835137238e+20, 5.154260930630279e-02, 1.747899967068954e-01
2.377004454874037e-01, 1.499788418664912e+20, 5.284438367861929e-02, 1.679422598413117e-01
2.377004454874037e-01, 1.682790283290380e+20, 5.420326497464804e-02, 1.618590224061095e-01
2.377004454874037e-01, 1.888121752571853e+20, 5.560701663828235e-02, 1.564545864685097e-01
2.667042864326649e-01, 2.118507450354571e+18, 8.921096246718939e-02, 1.307120837661651e+00
2.667042864326649e-01, 2.377004454874053e+18, 8.666837916880116e-02, 1.272241771606534e+00
2.667042864326649e-01, 2.667042864326648e+18, 8.407033548608743e-02, 1.235053412450408e+00
2.667042864326649e-01, 2.992471312188848e+18, 8.143412325390592e-02, 1.195608206259518e+00
2.667042864326649e-01, 3.357608036245132e+18, 7.877824334701736e-02, 1.154005760856447e+00
2.667042864326649e-01, 3.767298178979589e+18, 7.612198260281750e-02, 1.110396365447196e+00
2.667042864326649e-01, 4.226978079673322e+18, 7.348496077590237e-02, 1.064982644599015e+00
2.667042864326649e-01, 4.742747411323311e+18, 7.088667297294041e-02, 1.018018945617019e+00
2.667042864326649e-01, 5.321450119597585e+18, 6.834605320158024e-02, 9.698081735171709e-01
2.667042864326649e-01, 5.970765237835940e+18, 6.588108237711678e-02, 9.206959512665602e-01
2.667042864326649e-01, 6.699308783156532e+18, 6.350845967296145e-02, 8.710621849278564e-01
2.667042864326649e-01, 7.516748085768933e+18, 6.124335008159292e-02, 8.213103366095550e-01
2.667042864326649e-01, 8.433930068571646e+18, 5.909921426307910e-02, 7.718549292275840e-01
2.667042864326649e-01, 9.463025179229549e+18, 5.708772003371856e-02, 7.231079988355980e-01
2.667042864326649e-01, 1.061768888461980e+19, 5.521872892952480e-02, 6.754653455677551e-01
2.667042864326649e-01, 1.191324287058017e+19, 5.350034671034530e-02, 6.292934905761132e-01
2.667042864326649e-01, 1.336687835137238e+19, 5.193902373706153e-02, 5.849182103794849e-01
2.667042864326649e-01, 1.499788418664912e+19, 5.053968988412974e-02, 5.426153909660303e-01
2.667042864326649e-01, 1.682790283290379e+19, 4.930590885272475e-02, 5.026047349658810e-01
2.667042864326649e-01, 1.888121752571853e+19, 4.824003808947268e-02, 4.650465921202045e-01
2.667042864326649e-01, 2.118507450354571e+19, 4.734338259176659e-02, 4.300419007730170e-01
2.667042864326649e-01, 2.377004454874053e+19, 4.661633330646527e-02, 3.976349635881188e-01
2.667042864326649e-01, 2.667042864326648e+19, 4.605848329207350e-02, 3.678185674370194e-01
2.667042864326649e-01, 2.992471312188848e+19, 4.566871711247968e-02, 3.405408186419752e-01
2.667042864326649e-01, 3.357608036245132e+19, 4.544527097752575e-02, 3.157130100329001e-01
2.667042864326649e-01, 3.767298178979589e+19, 4.538576295698189e-02, 2.932178609979687e-01
2.667042864326649e-01, 4.226978079673322e+19, 4.548719424986804e-02, 2.729175597871710e-01
2.667042864326649e-01, 4.742747411323311e+19, 4.574592409103748e-02, 2.546611658958710e-01
2.667042864326649e-01, 5.321450119597585e+19, 4.615762249854593e-02, 2.382910751031289e-01
2.667042864326649e-01, 5.970765237835940e+19, 4.671720672701859e-02, 2.236483894854292e-01
2.667042864326649e-01, 6.699308783156532e+19, 4.741876893367693e-02, 2.105771542856409e-01
