Te,ne,728/706,728/668
2.000000000000000e-01, 4.000000000000000e+17, 9.490198772024240e-02, 2.106539031120174e+00
2.000000000000000e-01, 4.112538163319718e+17, 9.474853917011279e-02, 2.104167895459609e+00
2.000000000000000e-01, 4.228242536190314e+17, 9.459134034022425e-02, 2.101739810535021e+00
2.000000000000000e-01, 4.347202198463604e+17, 9.443032093705070e-02, 2.099253400741218e+00
2.000000000000000e-01, 4.469508736212237e+17, 9.426541052072553e-02, 2.096707252685925e+00
2.000000000000000e-01, 4.595256312240964e+17, 9.409653857958931e-02, 2.094099914130216e+00
2.000000000000000e-01, 4.724541738581698e+17, 9.392363460874784e-02, 2.091429892940097e+00
2.000000000000000e-01, 4.857464551028530e+17, 9.374662819269337e-02, 2.088695656054636e+00
2.000000000000000e-01, 4.994127085769418e+17, 9.356544909203511e-02, 2.085895628476488e+00
2.000000000000000e-01, 5.134634558173853e+17, 9.338002733437327e-02, 2.083028192290945e+00
2.000000000000000e-01, 5.279095143797605e+17, 9.319029330934070e-02, 2.080091685720128e+00
2.000000000000000e-01, 5.427620061665860e+17, 9.299617786783239e-02, 2.077084402219291e+00
2.000000000000000e-01, 5.580323659900142e+17, 9.279761242541766e-02, 2.074004589622519e+00
2.000000000000000e-01, 5.737323503753870e+17, 9.259452906993466e-02, 2.070850449345634e+00
2.000000000000000e-01, 5.898740466124746e+17, 9.238686067323855e-02, 2.067620135654259e+00
2.000000000000000e-01, 6.064698820614090e+17, 9.217454100706859e-02, 2.064311755005574e+00
2.000000000000000e-01, 6.235326337203932e+17, 9.195750486298640e-02, 2.060923365472433e+00
2.000000000000000e-01, 6.410754380625930e+17, 9.173568817631467e-02, 2.057452976259004e+00
2.000000000000000e-01, 6.591118011498299e+17, 9.150902815399667e-02, 2.053898547317179e+00
2.000000000000000e-01, 6.776556090307735e+17, 9.127746340627456e-02, 2.050257989073503e+00
2.000000000000000e-01, 6.967211384316805e+17, 9.104093408207178e-02, 2.046529162276422e+00
2.000000000000000e-01, 7.163230677479615e+17, 9.079938200794174e-02, 2.042709877973987e+00
2.000000000000000e-01, 7.364764883449427e+17, 9.055275083042766e-02, 2.038797897632227e+00
2.000000000000000e-01, 7.571969161765665e+17, 9.030098616165973e-02, 2.034790933404680e+00
2.000000000000000e-01, 7.785003037310327e+17, 9.004403572799471e-02, 2.030686648563517e+00
2.000000000000000e-01, 8.004030523124723e+17, 8.978184952148015e-02, 2.026482658102871e+00
2.000000000000000e-01, 8.229220246681577e+17, 8.951437995390768e-02, 2.022176529524965e+00
2.000000000000000e-01, 8.460745579710390e+17, 8.924158201319535e-02, 2.017765783819568e+00
2.000000000000000e-01, 8.698784771674396e+17, 8.896341342181681e-02, 2.013247896647226e+00
2.000000000000000e-01, 8.943521087003837e+17, 8.867983479697632e-02, 2.008620299736651e+00
2.000000000000000e-01, 9.195142946189555e+17, 8.839080981219938e-02, 2.003880382506260e+00
2.000000000000000e-01, 9.453844070846162e+17, 8.809630535999531e-02, 1.999025493919869e+00
2.000000000000000e-01, 9.719823632857169e+17, 8.779629171521521e-02, 1.994052944585869e+00
2.000000000000000e-01, 9.993286407715583e+17, 8.749074269871683e-02, 1.988960009109189e+00
2.000000000000000e-01, 1.027444293217864e+18, 8.717963584091780e-02, 1.983743928704550e+00
2.000000000000000e-01, 1.056350966635879e+18, 8.686295254480184e-02, 1.978401914079183e+00
2.000000000000000e-01, 1.086070916037441e+18, 8.654067824792080e-02, 1.972931148592524e+00
2.000000000000000e-01, 1.116627022568895e+18, 8.621280258291400e-02, 1.967328791699632e+00
2.000000000000000e-01, 1.148042811127162e+18, 8.587931953604867e-02, 1.961591982684411e+00
2.000000000000000e-01, 1.180342468471335e+18, 8.554022760326828e-02, 1.955717844687837e+00
2.000000000000000e-01, 1.213550861843842e+18, 8.519552994321551e-02, 1.949703489035418e+00
2.000000000000000e-01, 1.247693558115583e+18, 8.484523452668472e-02, 1.943546019867179e+00
2.000000000000000e-01, 1.282796843469637e+18, 8.448935428194575e-02, 1.937242539072368e+00
2.000000000000000e-01, 1.318887743638737e+18, 8.412790723536367e-02, 1.930790151529868e+00
2.000000000000000e-01, 1.355994044712235e+18, 8.376091664673806e-02, 1.924185970654125e+00
2.000000000000000e-01, 1.394144314528344e+18, 8.338841113877153e-02, 1.917427124245075e+00
2.000000000000000e-01, 1.433367924668255e+18, 8.301042482007366e-02, 1.910510760639112e+00
2.000000000000000e-01, 1.473695073069157e+18, 8.262699740110691e-02, 1.903434055156788e+00
2.000000000000000e-01, 1.515156807273287e+18, 8.223817430247798e-02, 1.896194216841302e+00
2.000000000000000e-01, 1.557785048331263e+18, 8.184400675498421e-02, 1.888788495480331e+00
2.000000000000000e-01, 1.601612615377806e+18, 8.144455189082864e-02, 1.881214188902086e+00
2.000000000000000e-01, 1.646673250898882e+18, 8.103987282543067e-02, 1.873468650534793e+00
2.000000000000000e-01, 1.693001646709849e+18, 8.063003872926675e-02, 1.865549297217051e+00
2.000000000000000e-01, 1.740633470664359e+18, 8.021512488919878e-02, 1.857453617244762e+00
2.000000000000000e-01, 1.789605394114707e+18, 7.979521275876135e-02, 1.849179178638543e+00
2.000000000000000e-01, 1.839955120144890e+18, 7.937038999690726e-02, 1.840723637613626e+00
2.000000000000000e-01, 1.891721412597859e+18, 7.894075049473502e-02, 1.832084747232554e+00
2.000000000000000e-01, 1.944944125919445e+18, 7.850639438975611e-02, 1.823260366219056e+00
2.000000000000000e-01, 1.999664235842057e+18, 7.806742806728738e-02, 1.814248467909602e+00
